"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
3.973593700E-2,6.044769430E1,2.224729650E1,NaN,NaN,NaN,5.838297852E3,0.000000000E0
4.149126040E-1,6.043638510E1,2.223099080E1,3.539297325E0,NaN,NaN,1.352279968E2,2.008948517E1
5.060341300E0,6.043570115E1,2.223085618E1,1.261914191E1,3.199999928E-1,2.666000061E2,1.916007423E1,3.512112808E1
6.058225622E0,6.043563128E1,2.223097354E1,6.613576689E0,0.000000000E0,NaN,1.749211502E1,3.295895767E1
7.055455622E0,6.043562551E1,2.223096799E1,3.981501751E0,0.000000000E0,NaN,1.587180424E1,2.816109467E1
8.075211976E0,6.043561760E1,2.223081448E1,9.016661929E0,4.499999881E-1,2.666000061E2,1.438344097E1,2.409696007E1
8.322418278E0,6.043563209E1,2.223097031E1,-6.193917558E0,0.000000000E0,NaN,7.916195869E0,1.134129810E1
9.322416194E0,6.043561138E1,2.223089453E1,-1.281558104E1,0.000000000E0,NaN,5.835345745E0,8.470759392E0
1.032244187E1,6.043561854E1,2.223090108E1,-1.093439221E1,0.000000000E0,NaN,4.588341713E0,6.392834663E0
1.132239974E1,6.043561766E1,2.223090284E1,-9.603856575E0,0.000000000E0,NaN,3.814516306E0,5.008912086E0
1.232244635E1,6.043561802E1,2.223091859E1,-1.098005320E1,0.000000000E0,NaN,3.790092468E0,4.280235291E0
1.332194614E1,6.043561743E1,2.223092669E1,-1.169432003E1,0.000000000E0,NaN,3.790092468E0,3.891762257E0
1.432193999E1,6.043562070E1,2.223093362E1,-1.154460520E1,0.000000000E0,NaN,3.790092468E0,3.592623472E0
1.532263979E1,6.043562128E1,2.223093274E1,-1.167750920E1,0.000000000E0,NaN,3.790092468E0,3.196009398E0
1.632277187E1,6.043562061E1,2.223093980E1,-1.152831122E1,0.000000000E0,NaN,3.790092468E0,3.165644884E0
1.732245499E1,6.043562091E1,2.223093898E1,-1.142159108E1,0.000000000E0,NaN,3.790092468E0,3.364493847E0
1.832198546E1,6.043562085E1,2.223094015E1,-1.168541598E1,0.000000000E0,NaN,3.790092468E0,3.348171949E0
1.932276749E1,6.043562114E1,2.223094276E1,-1.148876189E1,0.000000000E0,NaN,3.790092468E0,3.358900070E0
2.032270088E1,6.043562160E1,2.223094078E1,-1.128063145E1,0.000000000E0,NaN,3.790092468E0,3.407493114E0
2.132283853E1,6.043562129E1,2.223094064E1,-1.125466078E1,0.000000000E0,NaN,3.790092468E0,3.377294779E0
2.232194879E1,6.043562071E1,2.223094006E1,-1.135671104E1,0.000000000E0,NaN,3.790092468E0,3.322976828E0
2.332197249E1,6.043562075E1,2.223093959E1,-1.120921942E1,0.000000000E0,NaN,3.790092468E0,3.299209118E0
2.432189077E1,6.043561971E1,2.223093823E1,-1.122646078E1,0.000000000E0,NaN,3.790092468E0,3.307541370E0
2.532294718E1,6.043561961E1,2.223093850E1,-1.119560756E1,0.000000000E0,NaN,3.790092468E0,3.495228052E0
2.632312718E1,6.043561946E1,2.223093870E1,-1.117021694E1,0.000000000E0,NaN,3.790092468E0,3.713475466E0
2.732385254E1,6.043561939E1,2.223093902E1,-1.117311620E1,0.000000000E0,NaN,3.790092468E0,3.812025309E0
2.832282113E1,6.043561939E1,2.223093903E1,-1.117317724E1,0.000000000E0,NaN,3.990343571E0,3.994692802E0
2.932261764E1,6.043561931E1,2.223093981E1,-1.106123903E1,0.000000000E0,NaN,3.930970669E0,3.923166513E0
3.032269624E1,6.043561874E1,2.223094018E1,-1.093324817E1,0.000000000E0,NaN,3.863290787E0,3.811407328E0
3.132221051E1,6.043561788E1,2.223094014E1,-1.091704288E1,0.000000000E0,NaN,3.811944246E0,3.744715452E0
3.232218785E1,6.043561745E1,2.223094016E1,-1.086378949E1,0.000000000E0,NaN,3.790092468E0,3.593046665E0
3.332206634E1,6.043561743E1,2.223094059E1,-1.085841856E1,0.000000000E0,NaN,3.790092468E0,3.555535316E0
3.432267374E1,6.043561738E1,2.223094079E1,-1.087886539E1,0.000000000E0,NaN,3.790092468E0,3.486784220E0
